Senador,Asistencia,Partido,Numero,size
 edinson delgado ruiz,0.99,PARTIDO LIBERAL COLOMBIANO,68,0.01
 rodrigo villalba mosquera,0.99,PARTIDO LIBERAL COLOMBIANO,69,0.01
 javier tato alvarez montenegro,0.85,PARTIDO LIBERAL COLOMBIANO,70,0.01
 luis fernando duque garcia,0.97,PARTIDO LIBERAL COLOMBIANO,71,0.01
 doris clemencia vega quiroz,0.99,PARTIDO OPCION CIUDADANA,72,0.01
 teresita garcia romero,0.99,PARTIDO OPCION CIUDADANA,73,0.01
 nerthink mauricio aguilar hurtado,0.99,PARTIDO OPCION CIUDADANA,74,0.01
 antonio jose correa jimenez,0.99,PARTIDO OPCION CIUDADANA,75,0.01
 julio miguel guerra sotto,0.86,PARTIDO OPCION CIUDADANA,76,0.01
 ivan cepeda castro,0.86,PARTIDO POLO DEMOCRATICO ALTERNATIVO,77,0.01
 alexander lopez maya,1.00,PARTIDO POLO DEMOCRATICO ALTERNATIVO,78,0.01
 jesus alberto castilla salazar,0.86,PARTIDO POLO DEMOCRATICO ALTERNATIVO,79,0.01
 segundo senen nino avendano,0.85,PARTIDO POLO DEMOCRATICO ALTERNATIVO,80,0.01
 jorge enrique robledo castillo,0.99,PARTIDO POLO DEMOCRATICO ALTERNATIVO,81,0.01
 maritza martinez aristizabal,0.98,"PARTIDO SOCIAL DE UNIDAD NACIONAL "" PARTIDO DE LA U""",82,0.01
 sandra elena villadiego villadiego,0.86,"PARTIDO SOCIAL DE UNIDAD NACIONAL "" PARTIDO DE LA U""",83,0.01
 bernardo miguel elias vidal,0.99,"PARTIDO SOCIAL DE UNIDAD NACIONAL "" PARTIDO DE LA U""",84,0.01
 jose david name cardozo,1.00,"PARTIDO SOCIAL DE UNIDAD NACIONAL "" PARTIDO DE LA U""",85,0.01
 jose alfredo gnecco zuleta,0.86,"PARTIDO SOCIAL DE UNIDAD NACIONAL "" PARTIDO DE LA U""",86,0.01
 oscar mauricio lizcano arango,0.99,"PARTIDO SOCIAL DE UNIDAD NACIONAL "" PARTIDO DE LA U""",87,0.01
 miguel amin escaf,0.85,"PARTIDO SOCIAL DE UNIDAD NACIONAL "" PARTIDO DE LA U""",88,0.01
 eduardo enrique pulgar daza,0.86,"PARTIDO SOCIAL DE UNIDAD NACIONAL "" PARTIDO DE LA U""",89,0.01
 roy leonardo barreras montealegre,0.99,"PARTIDO SOCIAL DE UNIDAD NACIONAL "" PARTIDO DE LA U""",90,0.01
 martin emilio morales diz,0.99,"PARTIDO SOCIAL DE UNIDAD NACIONAL "" PARTIDO DE LA U""",91,0.01
 armando alberto benedetti villaneda,0.99,"PARTIDO SOCIAL DE UNIDAD NACIONAL "" PARTIDO DE LA U""",92,0.01
 william jimmy chamorro cruz,0.86,"PARTIDO SOCIAL DE UNIDAD NACIONAL "" PARTIDO DE LA U""",93,0.01
 german dario hoyos giraldo,0.98,"PARTIDO SOCIAL DE UNIDAD NACIONAL "" PARTIDO DE LA U""",94,0.01
 milton arlex rodriguez sarmiento,0.98,"PARTIDO SOCIAL DE UNIDAD NACIONAL "" PARTIDO DE LA U""",95,0.01
 manuel mesias enriquez rosero,1.00,"PARTIDO SOCIAL DE UNIDAD NACIONAL "" PARTIDO DE LA U""",96,0.01
 angel custodio cabrera baez,0.86,"PARTIDO SOCIAL DE UNIDAD NACIONAL "" PARTIDO DE LA U""",97,0.01
 manuel guillermo mora jaramillo,1.00,"PARTIDO SOCIAL DE UNIDAD NACIONAL "" PARTIDO DE LA U""",98,0.01
 musa besaile fayad,0.99,"PARTIDO SOCIAL DE UNIDAD NACIONAL "" PARTIDO DE LA U""",99,0.01
 roosvelt rodriguez rengifo,0.85,"PARTIDO SOCIAL DE UNIDAD NACIONAL "" PARTIDO DE LA U""",100,0.01
 andres felipe garcia zuccardi,0.85,"PARTIDO SOCIAL DE UNIDAD NACIONAL "" PARTIDO DE LA U""",101,0.01
 carlos enrique soto jaramillo,0.99,"PARTIDO SOCIAL DE UNIDAD NACIONAL "" PARTIDO DE LA U""",102,0.01
