"V1","V2","V3","V4","V5","V6"
"Julio Eugenio Gallardo Archbold","84.2975206611539","Movimiento de Integración Regional","San Andrés","132","1.18627450980397"
"Jack Housni Jaller","91.7355371900792","Partido Liberal","San Andrés","133","1.09009009009013"
"Johana Chaves García","26.4462809917349","Centro Democrático","Santander","134","3.78125000000009"
"Ciro  Fernandez Núñez","95.041322314046","Cambio Radical","Santander","135","1.05217391304352"
"Lina María Barrera Rueda","95.041322314046","Partido Conservador","Santander","136","1.05217391304352"
"Édgar Alfonso Gómez Román","90.9090909090875","Partido Liberal","Santander","137","1.10000000000004"
"Miguel Ángel Pinto Hernández","92.5619834710709","Partido Liberal","Santander","138","1.08035714285718"
"María Eugenia Triana Vargas","98.3471074380128","Opción Ciudadana","Santander","139","1.01680672268911"
"Ricardo Flórez Rueda","57.0247933884278","Opción Ciudadana","Santander","140","1.75362318840586"
"Candelaria Patricia Rojas Vergara","93.3884297520626","Cien Por Ciento Por Colombia","Sucre","141","1.07079646017703"
"Yahir Fernando Acuña Cardales","19.0082644628096","Cien Por Ciento Por Colombia","Sucre","142","5.26086956521748"
"Nicolás Daniel Guerrero Montaño","95.8677685950377","Partido de la U","Sucre","143","1.0431034482759"
"Pierre Eugenio García Jacquier","94.2148760330543","Centro Democrático","Tolima","144","1.06140350877197"
"José Élver Hernández Casas","94.2148760330543","Partido Conservador","Tolima","145","1.06140350877197"
"Miguel Ángel Barreto Castillo","94.2148760330543","Partido Conservador","Tolima","146","1.06140350877197"
"Ángel María Gaitán Pulido","96.6942148760294","Partido Liberal","Tolima","147","1.03418803418807"
"Carlos Edward Osorio Aguiar","85.9504132231373","Partido de la U","Tolima","148","1.16346153846158"
"Jaime Armando Yepes Martínez","92.5619834710709","Partido de la U","Tolima","149","1.08035714285718"
"Carlos Alberto Cuero Valencia","96.6942148760294","Centro Democrático","Valle","150","1.03418803418807"
"Guillermina Bravo Montaño","96.6942148760294","MIRA","Valle","151","1.03418803418807"
"Ana Cristina Paz Cardona","88.4297520661124","Partido Verde","Valle","152","1.13084112149537"
"Carlos Abraham Jiménez López","96.6942148760294","Cambio Radical","Valle","153","1.03418803418807"
"José Luis Pérez Oyuela","95.8677685950377","Cambio Radical","Valle","154","1.0431034482759"
"Álvaro  López Gil","92.5619834710709","Partido Conservador","Valle","155","1.08035714285718"
"Heriberto Sanabria Astudillo","96.6942148760294","Partido Conservador","Valle","156","1.03418803418807"
"Nancy Denise Castillo García","84.2975206611539","Partido Liberal","Valle","157","1.18627450980397"
"Fabio Alonso Arroyave Botero","91.7355371900792","Partido Liberal","Valle","158","1.09009009009013"
"Hernán Sinisterra Valencia","97.5206611570211","Partido Liberal","Valle","159","1.0254237288136"
"Élbert  Díaz Lozano","99.9999999999962","Partido de la U","Valle","160","1.00000000000004"
"Jorge Eliécer Tamayo Marulanda","96.6942148760294","Partido de la U","Valle","161","1.03418803418807"
"Rafael Eduardo Palau Salazar","99.1735537190045","Partido de la U","Valle","162","1.00833333333337"
"Jair  Arango Torres","91.7355371900792","Cambio Radical","Vaupés ","163","1.09009009009013"
"Norbey Marulanda Muñoz","95.041322314046","Partido Liberal","Vaupés ","164","1.05217391304352"
"Marco Sergio Rodríguez Merchán","85.1239669421456","Partido Liberal","Vichada","165","1.17475728155344"
"Nery  Oros Ortíz","85.1239669421456","Partido de la U","Vichada","166","1.17475728155344"
